track_id,track_title,era_clean,era_rank,release_date_clean,year,track_type,n_verses,n_lines,sent_mean_compound,sent_median_compound,sent_std_compound,sent_min_compound,sent_max_compound,sent_pct_positive,sent_pct_negative,sent_pct_neutral,sent_mean_pos,sent_mean_neg,word_count,unique_words,ttr,mtld,avg_word_len,avg_syllables,flesch_kincaid_grade,pct_one_syl,pct_three_plus_syl,parser_note
school_spirit_the_college_dropout,School Spirit,The College Dropout,1,2004-02-10,2004,Solo,8,67,0.0956,0.0,0.244,-0.8126,0.7772,0.284,0.104,0.612,0.1247,0.0233,410,164,0.4,40.85,3.84,1.261,1.68,0.776,0.034,
slow_jamz_the_college_dropout,Slow Jamz,The College Dropout,1,2004-02-10,2004,Solo,3,44,0.2525,0.296,0.3349,-0.6298,0.9274,0.568,0.045,0.386,0.2776,0.0148,348,141,0.4052,18.34,3.76,1.224,1.94,0.828,0.029,
spaceship_the_college_dropout,Spaceship,The College Dropout,1,2004-02-10,2004,Solo,4,70,0.0666,0.0,0.2517,-0.5423,0.6369,0.286,0.1,0.614,0.1161,0.0428,373,151,0.4048,49.77,3.8,1.18,0.41,0.858,0.038,
the_new_workout_plan_the_college_dropout,The New Workout Plan,The College Dropout,1,2004-02-10,2004,Solo,14,129,-0.0097,0.0,0.2792,-0.7109,0.8771,0.186,0.209,0.605,0.0916,0.0944,707,257,0.3635,31.56,3.88,1.195,0.65,0.825,0.02,
we_don_t_care_the_college_dropout,We Don't Care,The College Dropout,1,2004-02-10,2004,Solo,9,85,-0.0297,0.0,0.2528,-0.5574,0.5719,0.188,0.247,0.565,0.0935,0.0818,649,255,0.3929,96.99,3.97,1.22,1.79,0.814,0.026,
workout_plan_the_college_dropout,Workout Plan,The College Dropout,1,2004-02-10,2004,Solo,1,24,-0.0912,0.0,0.2638,-0.5574,0.6124,0.083,0.25,0.667,0.0302,0.0885,161,89,0.5528,43.35,3.81,1.236,1.61,0.801,0.031,
confessions_part_ii_remix_the_college_dropout,Confessions Part II (Remix),The College Dropout,1,2004-07-01,2004,Feature,2,31,-0.0636,0.0,0.2124,-0.7096,0.3818,0.032,0.161,0.806,0.0253,0.0428,231,111,0.4805,36.27,3.72,1.152,0.9,0.887,0.03,
down_and_out_the_college_dropout,Down and Out,The College Dropout,1,2004-07-01,2004,Feature,4,63,0.0344,0.0,0.1975,-0.6908,0.5927,0.159,0.063,0.778,0.0626,0.0205,282,68,0.2411,30.48,3.57,1.121,-0.62,0.879,0.0,
gettin_it_in_the_college_dropout,Gettin' It In,The College Dropout,1,2004-07-01,2004,Feature,5,79,0.1022,0.0,0.2331,-0.628,0.7259,0.278,0.038,0.684,0.1674,0.0139,439,125,0.2847,37.35,3.87,1.194,0.66,0.825,0.014,
i_got_a_love_the_college_dropout,I Got a Love,The College Dropout,1,2004-07-01,2004,Feature,5,28,0.3538,0.2594,0.3258,0.0,0.7964,0.679,0.0,0.321,0.2439,0.0,276,53,0.192,38.97,3.37,1.12,1.47,0.891,0.007,
i_see_now_the_college_dropout,I See Now,The College Dropout,1,2004-07-01,2004,Feature,6,78,-0.0819,0.0,0.3224,-0.9081,0.5975,0.128,0.282,0.59,0.0544,0.0906,592,210,0.3547,52.49,3.55,1.164,1.1,0.872,0.025,
my_baby_the_college_dropout,My Baby,The College Dropout,1,2004-07-01,2004,Feature,1,17,-0.022,0.0,0.1643,-0.3182,0.4404,0.118,0.235,0.647,0.0638,0.0582,146,95,0.6507,80.43,3.86,1.267,2.71,0.767,0.021,
number_one_the_college_dropout,Number One,The College Dropout,1,2004-07-01,2004,Feature,4,30,0.1002,0.0,0.3252,-0.5574,0.8957,0.333,0.133,0.533,0.1346,0.0427,219,105,0.4795,26.2,3.63,1.164,1.0,0.849,0.014,
overnight_celebrity_the_college_dropout,Overnight Celebrity,The College Dropout,1,2004-07-01,2004,Feature,3,32,0.1424,0.0595,0.1612,0.0,0.3612,0.5,0.0,0.5,0.1574,0.0241,200,33,0.165,39.28,4.22,1.28,1.95,0.86,0.1,
selfish_the_college_dropout,Selfish,The College Dropout,1,2004-07-01,2004,Feature,3,35,0.0394,0.0,0.2896,-0.4767,0.7783,0.286,0.257,0.457,0.1811,0.1,195,112,0.5744,60.12,3.69,1.179,0.5,0.841,0.015,
talk_about_our_love_the_college_dropout,Talk About Our Love,The College Dropout,1,2004-07-01,2004,Feature,1,20,0.0934,0.0,0.2287,-0.3875,0.5423,0.35,0.1,0.55,0.0974,0.0253,152,101,0.6645,100.92,3.73,1.23,1.89,0.822,0.053,
this_way_the_college_dropout,This Way,The College Dropout,1,2004-07-01,2004,Feature,3,43,0.0806,0.0,0.2251,-0.4404,0.7096,0.256,0.07,0.674,0.1129,0.0182,358,111,0.3101,13.6,3.46,1.134,1.04,0.894,0.028,
anything_late_registration,Anything,Late Registration,2,2005-07-01,2005,Feature,2,23,0.1436,0.0,0.2752,-0.1531,0.729,0.261,0.043,0.696,0.101,0.0151,161,97,0.6025,46.75,3.57,1.193,1.21,0.845,0.031,
back_like_that_remix_late_registration,Back Like That (Remix),Late Registration,2,2005-07-01,2005,Feature,3,37,0.0491,0.0,0.2661,-0.7096,0.5093,0.297,0.135,0.568,0.1753,0.0486,258,143,0.5543,50.1,3.63,1.171,0.94,0.857,0.023,
call_some_hoes_late_registration,Call Some Hoes,Late Registration,2,2005-07-01,2005,Feature,2,23,-0.1489,0.0,0.374,-0.9059,0.5106,0.087,0.304,0.609,0.0361,0.1373,169,111,0.6568,100.19,3.62,1.195,1.38,0.84,0.03,
chi_town_late_registration,Chi-Town,Late Registration,2,2005-07-01,2005,Feature,1,17,-0.0151,0.0,0.2759,-0.4215,0.7845,0.118,0.294,0.588,0.0551,0.0644,157,94,0.5987,34.06,3.84,1.21,2.29,0.854,0.051,
crack_music_remix_late_registration,Crack Music (Remix),Late Registration,2,2005-07-01,2005,Feature,7,70,0.0081,0.0,0.1995,-0.6908,0.5267,0.129,0.1,0.771,0.0407,0.0337,497,165,0.332,6.15,3.59,1.221,1.59,0.815,0.03,
ghetto_late_registration,Ghetto,Late Registration,2,2005-07-01,2005,Feature,5,26,-0.0346,0.0,0.1222,-0.4497,0.0,0.0,0.077,0.923,0.0,0.0175,164,38,0.2317,26.18,3.54,1.171,0.68,0.848,0.018,
go_late_registration,Go!,Late Registration,2,2005-07-01,2005,Feature,3,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,264,15,0.0568,8.53,2.94,1.136,0.16,0.955,0.045,Common primary; Kanye featured. Genius URL credits Kanye as featured artist; original pipeline track_type did not reflect Tier 3 feature status. Phase 4b corpus cleanup corrected misclassification (not based on dedicated line content review). Re-flagged as Tier 3 feature.
grown_man_pt_2_late_registration,Grown Man Pt. 2,Late Registration,2,2005-07-01,2005,Feature,1,18,0.015,0.0,0.3309,-0.6908,0.7506,0.222,0.167,0.611,0.0616,0.0639,160,104,0.65,88.96,3.41,1.119,1.08,0.9,0.019,
hold_me_late_registration,Hold Me,Late Registration,2,2005-07-01,2005,Feature,2,50,0.0484,0.0,0.2457,-0.6808,0.6369,0.28,0.1,0.62,0.0941,0.0431,378,179,0.4735,43.12,3.76,1.198,1.5,0.841,0.026,
i_see_now_late_registration,I See Now,Late Registration,2,2005-07-01,2005,Feature,6,78,-0.0819,0.0,0.3224,-0.9081,0.5975,0.128,0.282,0.59,0.0544,0.0906,592,210,0.3547,52.49,3.55,1.164,1.1,0.872,0.025,
make_her_feel_good_remix_late_registration,Make Her Feel Good (Remix),Late Registration,2,2005-07-01,2005,Feature,1,16,0.1184,0.0,0.1895,-0.0258,0.4404,0.312,0.0,0.688,0.0985,0.0243,138,94,0.6812,58.01,4.04,1.348,3.68,0.703,0.051,
more_late_registration,More,Late Registration,2,2005-07-01,2005,Feature,4,64,0.0598,0.0772,0.285,-0.5574,0.4215,0.625,0.125,0.25,0.2521,0.0745,280,25,0.0893,33.06,3.51,1.314,1.62,0.829,0.086,
number_one_late_registration,Number One,Late Registration,2,2005-07-01,2005,Feature,7,166,0.1007,0.0,0.2821,-0.8074,0.8555,0.319,0.06,0.62,0.1265,0.0247,851,192,0.2256,41.54,3.71,1.169,0.21,0.867,0.018,
paid_the_price_late_registration,Paid the Price,Late Registration,2,2005-07-01,2005,Feature,2,23,-0.0611,0.0,0.3168,-0.6808,0.6124,0.13,0.261,0.609,0.0736,0.1102,148,98,0.6622,85.02,3.72,1.203,1.11,0.838,0.041,
still_dreaming_late_registration,Still Dreaming,Late Registration,2,2005-07-01,2005,Feature,4,66,0.0749,0.0,0.2812,-0.4939,0.872,0.152,0.061,0.788,0.0942,0.0165,354,104,0.2938,8.24,4.25,1.201,0.67,0.808,0.006,
tell_me_when_to_go_remix_late_registration,Tell Me When to Go (Remix),Late Registration,2,2005-07-01,2005,Feature,1,19,-0.0653,0.0,0.3063,-0.784,0.3612,0.211,0.211,0.579,0.0608,0.0854,161,90,0.559,34.84,3.81,1.168,1.49,0.857,0.025,
they_say_late_registration,They Say,Late Registration,2,2005-07-01,2005,Solo,5,47,0.0329,0.0,0.255,-0.5423,0.6597,0.191,0.128,0.681,0.0628,0.0412,313,137,0.4377,39.39,3.94,1.179,0.92,0.859,0.032,
top_this_late_registration,Top This,Late Registration,2,2005-07-01,2005,Feature,1,20,-0.0131,0.0,0.3731,-0.6908,0.4767,0.4,0.3,0.3,0.1103,0.1291,165,123,0.7455,181.5,3.97,1.242,2.29,0.812,0.036,Bump J primary; Kanye featured. Originally categorized as ghost/non-feature in Phase 4b audit; line content review confirmed Kanye verse contribution. Re-flagged as Tier 3 feature.
whole_city_behind_us_late_registration,Whole City Behind Us,Late Registration,2,2005-07-01,2005,Feature,5,37,-0.0248,0.0,0.2329,-0.9001,0.5267,0.081,0.081,0.838,0.0433,0.0329,292,103,0.3527,25.99,3.99,1.277,2.56,0.747,0.021,
wouldn_t_get_far_late_registration,Wouldn't Get Far,Late Registration,2,2005-07-01,2005,Feature,2,31,-0.0691,0.0,0.2872,-0.8126,0.4927,0.097,0.161,0.742,0.0325,0.0697,227,131,0.5771,78.78,3.47,1.088,0.11,0.912,0.0,
addiction_late_registration,Addiction,Late Registration,2,2005-08-30,2005,Solo,15,57,0.1408,0.0,0.2688,-0.34,0.7717,0.386,0.088,0.526,0.1591,0.0386,477,164,0.3438,45.55,3.64,1.216,2.02,0.853,0.048,
back_to_basics_late_registration,Back to Basics.,Late Registration,2,2005-08-30,2005,Solo,1,25,0.0521,0.0,0.3433,-0.8126,0.6486,0.28,0.12,0.6,0.1156,0.0517,158,104,0.6582,57.69,3.85,1.203,1.06,0.797,0.0,
bring_me_down_late_registration,Bring Me Down,Late Registration,2,2005-08-30,2005,Solo,1,26,-0.0045,0.0,0.3502,-0.9287,0.6369,0.269,0.231,0.5,0.0711,0.0893,245,147,0.6,58.62,3.93,1.265,3.02,0.796,0.041,
celebration_late_registration,Celebration,Late Registration,2,2005-08-30,2005,Solo,8,64,-0.0727,0.0,0.2338,-0.5994,0.4767,0.094,0.219,0.688,0.0392,0.0929,361,136,0.3767,36.25,3.59,1.166,0.37,0.87,0.028,
crack_music_late_registration,Crack Music,Late Registration,2,2005-08-30,2005,Solo,6,62,0.0083,0.0,0.2103,-0.6908,0.5267,0.145,0.113,0.742,0.0456,0.0376,449,165,0.3675,6.66,3.64,1.227,1.71,0.813,0.033,
diamonds_from_sierra_leone_late_registration,Diamonds from Sierra Leone,Late Registration,2,2005-08-30,2005,Solo,5,77,0.0365,0.0,0.218,-0.6908,0.6369,0.221,0.156,0.623,0.0694,0.0452,666,303,0.455,31.79,4.07,1.351,3.73,0.734,0.078,
diamonds_from_sierra_leone_remix_late_registration,Diamonds from Sierra Leone (Remix),Late Registration,2,2005-08-30,2005,Solo,5,52,0.0324,0.0,0.2421,-0.6113,0.5598,0.212,0.096,0.692,0.0704,0.0318,353,167,0.4731,26.02,4.13,1.36,3.1,0.703,0.062,
drive_slow_late_registration,Drive Slow,Late Registration,2,2005-08-30,2005,Solo,9,79,0.0614,0.0,0.2439,-0.4215,0.8074,0.19,0.089,0.722,0.064,0.0218,597,248,0.4154,32.87,3.85,1.201,1.53,0.829,0.028,
gold_digger_late_registration,Gold Digger,Late Registration,2,2005-08-30,2005,Solo,13,79,0.1134,0.0,0.289,-0.5994,0.8271,0.266,0.063,0.671,0.1014,0.0256,668,227,0.3398,34.51,3.78,1.159,1.38,0.855,0.012,
gone_late_registration,Gone,Late Registration,2,2005-08-30,2005,Solo,4,53,0.0565,0.0,0.2915,-0.7269,0.8651,0.226,0.113,0.66,0.0711,0.0381,485,261,0.5381,57.47,3.82,1.252,2.75,0.808,0.043,
heard_em_say_late_registration,Heard 'Em Say,Late Registration,2,2005-08-30,2005,Solo,6,49,0.0705,0.0,0.2889,-0.5859,0.7717,0.306,0.143,0.551,0.112,0.0447,357,163,0.4566,42.74,3.99,1.317,2.79,0.768,0.076,
hey_mama_late_registration,Hey Mama,Late Registration,2,2005-08-30,2005,Solo,7,85,0.1553,0.0,0.2769,-0.7096,0.8344,0.424,0.059,0.518,0.118,0.0269,714,259,0.3627,66.57,3.68,1.223,2.11,0.822,0.036,
late_late_registration,Late.,Late Registration,2,2005-08-30,2005,Solo,10,81,0.0037,0.0,0.2197,-0.7356,0.6939,0.136,0.148,0.716,0.0549,0.0501,570,201,0.3526,34.81,3.76,1.175,1.02,0.877,0.04,
roses_late_registration,Roses,Late Registration,2,2005-08-30,2005,Solo,2,42,0.0283,0.0,0.2674,-0.6072,0.6369,0.238,0.167,0.595,0.0673,0.0453,349,200,0.5731,133.49,3.97,1.232,2.19,0.834,0.049,
skit_1_late_registration,Skit #1,Late Registration,2,2005-08-30,2005,Solo,2,16,-0.0386,0.0,0.3022,-0.6808,0.4574,0.188,0.188,0.625,0.0816,0.0882,122,71,0.582,32.01,4.16,1.328,3.05,0.811,0.041,
skit_2_late_registration,Skit #2,Late Registration,2,2005-08-30,2005,Solo,2,17,-0.2918,0.0,0.5308,-0.9402,0.4168,0.235,0.471,0.294,0.0908,0.3765,109,33,0.3028,9.01,4.48,1.284,2.07,0.844,0.055,
skit_3_late_registration,Skit #3,Late Registration,2,2005-08-30,2005,Solo,2,10,-0.0292,0.0,0.2689,-0.4215,0.5514,0.1,0.2,0.7,0.0165,0.0698,81,52,0.642,49.83,4.54,1.481,5.05,0.716,0.099,
skit_4_late_registration,Skit #4,Late Registration,2,2005-08-30,2005,Solo,11,21,-0.1921,0.0,0.4051,-0.8807,0.4199,0.143,0.381,0.476,0.0436,0.1834,254,126,0.4961,31.53,4.3,1.307,4.55,0.791,0.055,
touch_the_sky_late_registration,Touch the Sky,Late Registration,2,2005-08-30,2005,Solo,9,62,0.011,0.0,0.3598,-0.7269,0.6124,0.274,0.258,0.468,0.104,0.0801,566,189,0.3339,23.58,3.64,1.186,1.96,0.846,0.028,
we_can_make_it_better_late_registration,We Can Make It Better,Late Registration,2,2005-08-30,2005,Solo,8,75,0.227,0.296,0.2284,0.0,0.6249,0.507,0.0,0.493,0.2123,0.0,317,71,0.224,12.26,3.71,1.256,0.87,0.767,0.016,
we_major_late_registration,We Major,Late Registration,2,2005-08-30,2005,Solo,8,80,0.0059,0.0,0.3361,-0.8205,0.8338,0.2,0.175,0.625,0.0922,0.0759,545,191,0.3505,13.53,3.9,1.255,1.88,0.796,0.029,
impossible_late_registration,Impossible,Late Registration,2,2006-05-09,2006,Solo,1,19,0.0244,0.0,0.3864,-0.6808,0.5719,0.316,0.263,0.421,0.0943,0.0836,148,88,0.5946,50.57,4.08,1.284,2.6,0.818,0.061,
grammy_family_late_registration,Grammy Family,Late Registration,2,2006-06-01,2006,Feature,4,46,-0.0634,0.0,0.2919,-0.6705,0.6369,0.109,0.239,0.652,0.0455,0.0759,337,164,0.4866,11.68,3.44,1.226,1.73,0.804,0.024,
barry_bonds_graduation,Barry Bonds,Graduation,3,2007-07-01,2007,Solo,12,49,-0.0138,0.0,0.2859,-0.5574,0.8462,0.224,0.265,0.51,0.0804,0.0918,350,163,0.4657,78.58,3.89,1.266,2.13,0.774,0.04,
because_of_you_remix_graduation,Because of You (Remix),Graduation,3,2007-07-01,2007,Feature,1,26,0.0655,0.0,0.323,-0.5574,0.8674,0.231,0.154,0.615,0.0936,0.0457,185,109,0.5892,55.29,3.75,1.205,1.41,0.843,0.043,Ne-Yo primary; Kanye featured. Genius URL credits Kanye as featured artist; original pipeline track_type did not reflect Tier 3 feature status. Phase 4b corpus cleanup corrected misclassification (not based on dedicated line content review). Re-flagged as Tier 3 feature.
bittersweet_poetry_graduation,Bittersweet Poetry,Graduation,3,2007-07-01,2007,Solo,7,70,-0.1301,0.0,0.2883,-0.8625,0.6652,0.071,0.429,0.5,0.0518,0.1723,557,182,0.3268,42.47,3.85,1.268,2.47,0.811,0.057,
buy_you_a_drank_remix_graduation,Buy You a Drank (Remix),Graduation,3,2007-07-01,2007,Feature,2,24,0.0389,0.0,0.3334,-0.6369,0.7269,0.333,0.167,0.5,0.0918,0.0566,241,141,0.5851,49.26,3.6,1.133,1.69,0.88,0.012,T-Pain primary; Kanye featured. Originally categorized as ghost/non-feature in Phase 4b audit; line content review confirmed Kanye verse contribution. Re-flagged as Tier 3 feature.
drunk_and_hot_girls_graduation,Drunk and Hot Girls,Graduation,3,2007-07-01,2007,Solo,11,79,-0.2463,-0.34,0.302,-0.5996,0.6369,0.089,0.62,0.291,0.0313,0.3107,406,119,0.2931,30.81,3.85,1.071,-0.94,0.931,0.002,
flashing_lights_graduation,Flashing Lights,Graduation,3,2007-07-01,2007,Solo,2,32,0.0357,0.0,0.2892,-0.7269,0.6486,0.25,0.094,0.656,0.0881,0.0808,229,145,0.6332,65.49,3.99,1.284,2.35,0.782,0.052,
good_life_graduation,Good Life,Graduation,3,2007-07-01,2007,Solo,5,83,0.1485,0.0,0.3569,-0.8126,0.7096,0.41,0.096,0.494,0.1864,0.0469,505,182,0.3604,35.4,3.54,1.152,0.38,0.871,0.018,
good_night_graduation,Good Night,Graduation,3,2007-07-01,2007,Solo,2,24,0.1263,0.0,0.2834,-0.3566,0.7003,0.417,0.208,0.375,0.1241,0.0511,224,114,0.5089,27.99,3.61,1.156,1.69,0.871,0.027,
homecoming_graduation,Homecoming,Graduation,3,2007-07-01,2007,Solo,4,42,0.1274,0.0,0.2474,-0.4767,0.6369,0.333,0.048,0.619,0.133,0.0243,381,171,0.4488,48.59,3.79,1.181,1.88,0.861,0.026,
in_the_mood_graduation,In the Mood,Graduation,3,2007-07-01,2007,Feature,3,48,0.0981,0.0,0.2757,-0.524,0.7691,0.438,0.167,0.396,0.1771,0.075,388,141,0.3634,55.23,3.68,1.173,1.4,0.856,0.028,
southside_graduation,Southside,Graduation,3,2007-07-01,2007,Feature,11,137,0.036,0.0,0.1641,-0.4215,0.7717,0.124,0.036,0.839,0.0447,0.0203,514,183,0.356,12.55,3.75,1.169,-0.33,0.856,0.019,
stay_up_viagra_graduation,Stay Up! (Viagra),Graduation,3,2007-07-01,2007,Feature,4,68,0.0094,0.0,0.2403,-0.8225,0.7602,0.147,0.103,0.75,0.0658,0.037,349,150,0.4298,20.53,3.84,1.192,0.48,0.851,0.04,
big_brother_graduation,Big Brother,Graduation,3,2007-09-11,2007,Solo,12,91,-0.0027,0.0,0.2917,-0.8765,0.6369,0.231,0.209,0.56,0.0625,0.0659,863,341,0.3951,67.18,3.74,1.248,2.83,0.791,0.024,
can_t_tell_me_nothing_graduation,Can't Tell Me Nothing,Graduation,3,2007-09-11,2007,,12,104,0.072,0.0,0.3145,-0.7096,0.8225,0.308,0.125,0.567,0.1981,0.0515,599,219,0.3656,25.54,3.73,1.207,0.9,0.83,0.033,
good_morning_graduation,Good Morning,Graduation,3,2007-09-11,2007,Solo,8,49,0.0833,0.0,0.3774,-0.7783,0.7424,0.429,0.204,0.367,0.2761,0.07,287,142,0.4948,33.88,4.38,1.355,2.69,0.732,0.063,
i_wonder_graduation,I Wonder,Graduation,3,2007-09-11,2007,Solo,3,31,0.066,0.0,0.2686,-0.6369,0.6705,0.258,0.097,0.645,0.0741,0.0332,272,135,0.4963,43.25,3.93,1.246,2.54,0.801,0.044,
stronger_graduation,Stronger,Graduation,3,2007-09-11,2007,,9,151,0.067,0.0,0.2661,-0.8034,0.6705,0.252,0.106,0.642,0.0949,0.0407,899,182,0.2024,26.11,3.8,1.248,1.46,0.786,0.024,
the_glory_graduation,The Glory,Graduation,3,2007-09-11,2007,Solo,6,83,0.0277,0.0,0.3443,-0.8402,0.7964,0.325,0.361,0.313,0.132,0.1165,625,260,0.416,36.17,3.74,1.253,2.13,0.778,0.024,
american_boy_808s_heartbreak,American Boy,808s & Heartbreak,4,2008-03-21,2008,Feature,2,33,0.1703,0.0,0.3326,-0.7076,0.7506,0.485,0.091,0.424,0.1666,0.0411,247,148,0.5992,72.94,3.95,1.247,2.04,0.81,0.036,
amazing_808s_heartbreak,Amazing,808s & Heartbreak,4,2008-07-01,2008,Solo,10,77,0.377,0.5859,0.3711,-0.6486,0.9758,0.701,0.078,0.221,0.5431,0.0389,258,62,0.2403,10.49,4.28,1.589,4.47,0.663,0.244,
digital_girl_808s_heartbreak,Digital Girl,808s & Heartbreak,4,2008-07-01,2008,Feature,2,36,0.0491,0.0,0.2017,-0.4023,0.4588,0.222,0.111,0.667,0.0679,0.0331,294,174,0.5918,67.41,3.71,1.221,2.0,0.816,0.031,
everybody_808s_heartbreak,Everybody,808s & Heartbreak,4,2008-07-01,2008,Feature,3,58,0.1588,0.2235,0.1998,-0.1673,0.5248,0.672,0.207,0.121,0.3503,0.0761,255,24,0.0941,7.85,3.95,1.133,-0.5,0.914,0.016,
everyone_nose_remix_808s_heartbreak,Everyone Nose (Remix),808s & Heartbreak,4,2008-07-01,2008,Feature,4,38,-0.0355,0.0,0.2146,-0.6968,0.6553,0.079,0.158,0.763,0.026,0.089,290,79,0.2724,13.29,4.04,1.197,1.51,0.814,0.007,
finer_things_808s_heartbreak,Finer Things,808s & Heartbreak,4,2008-07-01,2008,Feature,2,18,-0.0053,0.0,0.3972,-0.6808,0.7964,0.278,0.278,0.444,0.1358,0.1048,144,105,0.7292,110.44,4.06,1.264,2.44,0.799,0.049,
go_hard_808s_heartbreak,Go Hard,808s & Heartbreak,4,2008-07-01,2008,Feature,4,67,-0.075,0.0,0.3982,-0.8398,0.7891,0.254,0.493,0.254,0.0978,0.1689,579,201,0.3472,46.45,3.45,1.105,0.82,0.91,0.01,
i_still_love_h_e_r_808s_heartbreak,I Still Love H.E.R.,808s & Heartbreak,4,2008-07-01,2008,Feature,8,74,0.1661,0.0,0.3878,-0.6808,0.8316,0.486,0.162,0.351,0.2333,0.0681,456,153,0.3355,36.26,3.5,1.243,1.49,0.833,0.053,
it_s_over_808s_heartbreak,It's Over,808s & Heartbreak,4,2008-07-01,2008,Feature,1,16,0.0676,0.0,0.293,-0.6956,0.4404,0.375,0.125,0.5,0.1267,0.0504,91,62,0.6813,36.46,3.96,1.297,1.93,0.725,0.022,
paranoid_808s_heartbreak,Paranoid,808s & Heartbreak,4,2008-07-01,2008,Solo,8,74,-0.0511,0.0,0.3819,-0.8442,0.802,0.243,0.284,0.473,0.1139,0.1258,429,139,0.324,23.61,4.02,1.212,0.97,0.828,0.037,
