track_id,track_title,era_clean,era_rank,release_date_clean,year,topic_id
call_some_hoes_late_registration,Call Some Hoes,Late Registration,2,2005-07-01,2005,0
chi_town_late_registration,Chi-Town,Late Registration,2,2005-07-01,2005,0
crack_music_remix_late_registration,Crack Music (Remix),Late Registration,2,2005-07-01,2005,0
ghetto_late_registration,Ghetto,Late Registration,2,2005-07-01,2005,0
go_late_registration,Go!,Late Registration,2,2005-07-01,2005,0
grown_man_pt_2_late_registration,Grown Man Pt. 2,Late Registration,2,2005-07-01,2005,0
hold_me_late_registration,Hold Me,Late Registration,2,2005-07-01,2005,0
i_see_now_late_registration,I See Now,Late Registration,2,2005-07-01,2005,0
make_her_feel_good_remix_late_registration,Make Her Feel Good (Remix),Late Registration,2,2005-07-01,2005,0
more_late_registration,More,Late Registration,2,2005-07-01,2005,0
number_one_late_registration,Number One,Late Registration,2,2005-07-01,2005,0
paid_the_price_late_registration,Paid the Price,Late Registration,2,2005-07-01,2005,0
still_dreaming_late_registration,Still Dreaming,Late Registration,2,2005-07-01,2005,0
tell_me_when_to_go_remix_late_registration,Tell Me When to Go (Remix),Late Registration,2,2005-07-01,2005,0
they_say_late_registration,They Say,Late Registration,2,2005-07-01,2005,0
top_this_late_registration,Top This,Late Registration,2,2005-07-01,2005,0
whole_city_behind_us_late_registration,Whole City Behind Us,Late Registration,2,2005-07-01,2005,0
wouldn_t_get_far_late_registration,Wouldn't Get Far,Late Registration,2,2005-07-01,2005,0
addiction_late_registration,Addiction,Late Registration,2,2005-08-30,2005,0
back_to_basics_late_registration,Back to Basics.,Late Registration,2,2005-08-30,2005,0
bring_me_down_late_registration,Bring Me Down,Late Registration,2,2005-08-30,2005,0
celebration_late_registration,Celebration,Late Registration,2,2005-08-30,2005,0
crack_music_late_registration,Crack Music,Late Registration,2,2005-08-30,2005,0
diamonds_from_sierra_leone_late_registration,Diamonds from Sierra Leone,Late Registration,2,2005-08-30,2005,-1
diamonds_from_sierra_leone_remix_late_registration,Diamonds from Sierra Leone (Remix),Late Registration,2,2005-08-30,2005,-1
drive_slow_late_registration,Drive Slow,Late Registration,2,2005-08-30,2005,0
gold_digger_late_registration,Gold Digger,Late Registration,2,2005-08-30,2005,0
gone_late_registration,Gone,Late Registration,2,2005-08-30,2005,0
heard_em_say_late_registration,Heard 'Em Say,Late Registration,2,2005-08-30,2005,0
hey_mama_late_registration,Hey Mama,Late Registration,2,2005-08-30,2005,0
late_late_registration,Late.,Late Registration,2,2005-08-30,2005,0
roses_late_registration,Roses,Late Registration,2,2005-08-30,2005,0
skit_1_late_registration,Skit #1,Late Registration,2,2005-08-30,2005,1
skit_2_late_registration,Skit #2,Late Registration,2,2005-08-30,2005,1
skit_3_late_registration,Skit #3,Late Registration,2,2005-08-30,2005,0
skit_4_late_registration,Skit #4,Late Registration,2,2005-08-30,2005,1
touch_the_sky_late_registration,Touch the Sky,Late Registration,2,2005-08-30,2005,0
we_can_make_it_better_late_registration,We Can Make It Better,Late Registration,2,2005-08-30,2005,0
we_major_late_registration,We Major,Late Registration,2,2005-08-30,2005,0
impossible_late_registration,Impossible,Late Registration,2,2006-05-09,2006,0
grammy_family_late_registration,Grammy Family,Late Registration,2,2006-06-01,2006,0
barry_bonds_graduation,Barry Bonds,Graduation,3,2007-07-01,2007,0
because_of_you_remix_graduation,Because of You (Remix),Graduation,3,2007-07-01,2007,0
bittersweet_poetry_graduation,Bittersweet Poetry,Graduation,3,2007-07-01,2007,0
buy_you_a_drank_remix_graduation,Buy You a Drank (Remix),Graduation,3,2007-07-01,2007,0
drunk_and_hot_girls_graduation,Drunk and Hot Girls,Graduation,3,2007-07-01,2007,0
flashing_lights_graduation,Flashing Lights,Graduation,3,2007-07-01,2007,0
good_life_graduation,Good Life,Graduation,3,2007-07-01,2007,0
good_night_graduation,Good Night,Graduation,3,2007-07-01,2007,0
homecoming_graduation,Homecoming,Graduation,3,2007-07-01,2007,0
in_the_mood_graduation,In the Mood,Graduation,3,2007-07-01,2007,0
pro_nails_graduation,Pro Nails,Graduation,3,2007-07-01,2007,0
southside_graduation,Southside,Graduation,3,2007-07-01,2007,0
stay_up_viagra_graduation,Stay Up! (Viagra),Graduation,3,2007-07-01,2007,0
big_brother_graduation,Big Brother,Graduation,3,2007-09-11,2007,1
can_t_tell_me_nothing_graduation,Can't Tell Me Nothing,Graduation,3,2007-09-11,2007,0
good_morning_graduation,Good Morning,Graduation,3,2007-09-11,2007,0
i_wonder_graduation,I Wonder,Graduation,3,2007-09-11,2007,0
stronger_graduation,Stronger,Graduation,3,2007-09-11,2007,0
the_glory_graduation,The Glory,Graduation,3,2007-09-11,2007,0
american_boy_808s_heartbreak,American Boy,808s & Heartbreak,4,2008-03-21,2008,0
amazing_808s_heartbreak,Amazing,808s & Heartbreak,4,2008-07-01,2008,0
digital_girl_808s_heartbreak,Digital Girl,808s & Heartbreak,4,2008-07-01,2008,0
everybody_808s_heartbreak,Everybody,808s & Heartbreak,4,2008-07-01,2008,0
everyone_nose_remix_808s_heartbreak,Everyone Nose (Remix),808s & Heartbreak,4,2008-07-01,2008,0
finer_things_808s_heartbreak,Finer Things,808s & Heartbreak,4,2008-07-01,2008,0
go_hard_808s_heartbreak,Go Hard,808s & Heartbreak,4,2008-07-01,2008,0
i_still_love_h_e_r_808s_heartbreak,I Still Love H.E.R.,808s & Heartbreak,4,2008-07-01,2008,0
it_s_over_808s_heartbreak,It's Over,808s & Heartbreak,4,2008-07-01,2008,0
paranoid_808s_heartbreak,Paranoid,808s & Heartbreak,4,2008-07-01,2008,0
punch_drunk_love_808s_heartbreak,Punch Drunk Love,808s & Heartbreak,4,2008-07-01,2008,0
see_you_in_my_nightmares_808s_heartbreak,See You in My Nightmares,808s & Heartbreak,4,2008-07-01,2008,0
welcome_to_heartbreak_808s_heartbreak,Welcome to Heartbreak,808s & Heartbreak,4,2008-07-01,2008,0
lollipop_remix_808s_heartbreak,Lollipop (Remix),808s & Heartbreak,4,2008-08-26,2008,0
put_on_808s_heartbreak,Put On,808s & Heartbreak,4,2008-09-02,2008,0
swagga_like_us_808s_heartbreak,Swagga Like Us,808s & Heartbreak,4,2008-09-09,2008,0
coldest_winter_808s_heartbreak,Coldest Winter,808s & Heartbreak,4,2008-11-24,2008,1
heartless_808s_heartbreak,Heartless,808s & Heartbreak,4,2008-11-24,2008,0
love_lockdown_808s_heartbreak,Love Lockdown,808s & Heartbreak,4,2008-11-24,2008,0
pinocchio_story_808s_heartbreak,Pinocchio Story,808s & Heartbreak,4,2008-11-24,2008,1
robocop_808s_heartbreak,RoboCop,808s & Heartbreak,4,2008-11-24,2008,0
say_you_will_808s_heartbreak,Say You Will,808s & Heartbreak,4,2008-11-24,2008,1
street_lights_808s_heartbreak,Street Lights,808s & Heartbreak,4,2008-11-24,2008,1
american_boy_post_808s_feature_run,American Boy,Post-808s feature run,5,2008-03-21,2008,0
knock_you_down_post_808s_feature_run,Knock You Down,Post-808s feature run,5,2009-03-10,2009,0
mama_s_boyfriend_post_808s_feature_run,Mama's Boyfriend,Post-808s feature run,5,2009-06-15,2009,0
alright_post_808s_feature_run,Alright,Post-808s feature run,5,2009-07-01,2009,0
anyone_but_him_post_808s_feature_run,Anyone But Him,Post-808s feature run,5,2009-07-01,2009,0
ayyy_girl_post_808s_feature_run,Ayyy Girl,Post-808s feature run,5,2009-07-01,2009,0
digital_girl_remix_post_808s_feature_run,Digital Girl (Remix),Post-808s feature run,5,2009-07-01,2009,0
ego_remix_post_808s_feature_run,Ego (Remix),Post-808s feature run,5,2009-07-01,2009,0
gifted_post_808s_feature_run,Gifted,Post-808s feature run,5,2009-07-01,2009,0
hate_post_808s_feature_run,Hate,Post-808s feature run,5,2009-07-01,2009,0
maybach_music_2_post_808s_feature_run,Maybach Music 2,Post-808s feature run,5,2009-07-01,2009,0
sailing_not_selling_post_808s_feature_run,Sailing NOT Selling,Post-808s feature run,5,2009-07-01,2009,0
the_big_screen_post_808s_feature_run,The Big Screen,Post-808s feature run,5,2009-07-01,2009,0
whatever_u_want_post_808s_feature_run,Whatever U Want,Post-808s feature run,5,2009-07-01,2009,0
run_this_town_post_808s_feature_run,Run This Town,Post-808s feature run,5,2009-07-24,2009,0
forever_post_808s_feature_run,Forever,Post-808s feature run,5,2009-09-15,2009,0
make_her_say_post_808s_feature_run,Make Her Say,Post-808s feature run,5,2009-09-15,2009,0
alors_on_danse_remix_g_o_o_d_fridays_mbdtf,Alors on Danse (Remix),G.O.O.D. Fridays + MBDTF,6,2010-07-01,2010,0
blame_game_g_o_o_d_fridays_mbdtf,Blame Game,G.O.O.D. Fridays + MBDTF,6,2010-07-01,2010,0
blazin_g_o_o_d_fridays_mbdtf,Blazin',G.O.O.D. Fridays + MBDTF,6,2010-07-01,2010,0
deuces_remix_g_o_o_d_fridays_mbdtf,Deuces (Remix),G.O.O.D. Fridays + MBDTF,6,2010-07-01,2010,0
devil_in_a_new_dress_g_o_o_d_fridays_mbdtf,Devil in a New Dress,G.O.O.D. Fridays + MBDTF,6,2010-07-01,2010,0
erase_me_g_o_o_d_fridays_mbdtf,Erase Me,G.O.O.D. Fridays + MBDTF,6,2010-07-01,2010,0
gorgeous_g_o_o_d_fridays_mbdtf,Gorgeous,G.O.O.D. Fridays + MBDTF,6,2010-07-01,2010,0
live_fast_die_young_g_o_o_d_fridays_mbdtf,"Live Fast, Die Young",G.O.O.D. Fridays + MBDTF,6,2010-07-01,2010,0
lost_in_the_world_g_o_o_d_fridays_mbdtf,Lost in the World,G.O.O.D. Fridays + MBDTF,6,2010-07-01,2010,0
power_g_o_o_d_fridays_mbdtf,Power,G.O.O.D. Fridays + MBDTF,6,2010-07-01,2010,0
runaway_g_o_o_d_fridays_mbdtf,Runaway,G.O.O.D. Fridays + MBDTF,6,2010-07-01,2010,0
start_it_up_g_o_o_d_fridays_mbdtf,Start It Up,G.O.O.D. Fridays + MBDTF,6,2010-07-01,2010,0
all_of_the_lights_g_o_o_d_fridays_mbdtf,All of the Lights,G.O.O.D. Fridays + MBDTF,6,2010-11-22,2010,0
dark_fantasy_g_o_o_d_fridays_mbdtf,Dark Fantasy,G.O.O.D. Fridays + MBDTF,6,2010-11-22,2010,0
hell_of_a_life_g_o_o_d_fridays_mbdtf,Hell of a Life,G.O.O.D. Fridays + MBDTF,6,2010-11-22,2010,1
monster_g_o_o_d_fridays_mbdtf,Monster,G.O.O.D. Fridays + MBDTF,6,2010-11-22,2010,0
so_appalled_g_o_o_d_fridays_mbdtf,So Appalled,G.O.O.D. Fridays + MBDTF,6,2010-11-22,2010,0
who_will_survive_in_america_g_o_o_d_fridays_mbdtf,Who Will Survive in America,G.O.O.D. Fridays + MBDTF,6,2010-11-22,2010,1
e_t_remix_watch_the_throne,E.T. (Remix),Watch the Throne,7,2011-07-01,2011,0
eyez_closed_watch_the_throne,Eyez Closed,Watch the Throne,7,2011-07-01,2011,0
lift_off_watch_the_throne,Lift Off,Watch the Throne,7,2011-07-01,2011,0
made_in_america_watch_the_throne,Made in America,Watch the Throne,7,2011-07-01,2011,0
marvin_chardonnay_watch_the_throne,Marvin & Chardonnay,Watch the Throne,7,2011-07-01,2011,0
no_church_in_the_wild_watch_the_throne,No Church in the Wild,Watch the Throne,7,2011-07-01,2011,0
same_time_watch_the_throne,Same Time,Watch the Throne,7,2011-07-01,2011,0
sing_a_song_watch_the_throne,Sing a Song,Watch the Throne,7,2011-07-01,2011,0
the_joy_watch_the_throne,The Joy,Watch the Throne,7,2011-07-01,2011,0
touch_it_watch_the_throne,Touch It,Watch the Throne,7,2011-07-01,2011,0
why_i_love_you_watch_the_throne,Why I Love You,Watch the Throne,7,2011-07-01,2011,0
gotta_have_it_watch_the_throne,Gotta Have It,Watch the Throne,7,2011-08-08,2011,0
illest_motherfucker_alive_watch_the_throne,Illest Motherfucker Alive,Watch the Throne,7,2011-08-08,2011,0
murder_to_excellence_watch_the_throne,Murder to Excellence,Watch the Throne,7,2011-08-08,2011,0
new_day_watch_the_throne,New Day,Watch the Throne,7,2011-08-08,2011,0
niggas_in_paris_watch_the_throne,Niggas in Paris,Watch the Throne,7,2011-08-08,2011,0
otis_watch_the_throne,Otis,Watch the Throne,7,2011-08-08,2011,0
primetime_watch_the_throne,Primetime,Watch the Throne,7,2011-08-08,2011,0
that_s_my_bitch_watch_the_throne,That's My Bitch,Watch the Throne,7,2011-08-08,2011,0
who_gon_stop_me_watch_the_throne,Who Gon Stop Me,Watch the Throne,7,2011-08-08,2011,0
theraflu_cruel_summer_yeezus_build_up,Theraflu/Way Too Cold,Cruel Summer + Yeezus build-up,8,2012-04-04,2012,0
amen_cruel_summer_yeezus_build_up,Amen,Cruel Summer + Yeezus build-up,8,2012-07-01,2012,0
awesome_cruel_summer_yeezus_build_up,Awesome,Cruel Summer + Yeezus build-up,8,2012-07-01,2012,0
i_wish_you_would_cruel_summer_yeezus_build_up,I Wish You Would,Cruel Summer + Yeezus build-up,8,2012-07-01,2012,0
the_one_cruel_summer_yeezus_build_up,The One,Cruel Summer + Yeezus build-up,8,2012-07-01,2012,0
to_the_world_cruel_summer_yeezus_build_up,To the World,Cruel Summer + Yeezus build-up,8,2012-07-01,2012,0
birthday_song_cruel_summer_yeezus_build_up,Birthday Song,Cruel Summer + Yeezus build-up,8,2012-08-14,2012,0
bliss_cruel_summer_yeezus_build_up,Bliss,Cruel Summer + Yeezus build-up,8,2012-09-18,2012,0
clique_cruel_summer_yeezus_build_up,Clique,Cruel Summer + Yeezus build-up,8,2012-09-18,2012,0
cold_cruel_summer_yeezus_build_up,Cold,Cruel Summer + Yeezus build-up,8,2012-09-18,2012,0
creepers_cruel_summer_yeezus_build_up,Creepers,Cruel Summer + Yeezus build-up,8,2012-09-18,2012,0
i_don_t_like_remix_cruel_summer_yeezus_build_up,I Don't Like (Remix),Cruel Summer + Yeezus build-up,8,2012-09-18,2012,0
mercy_cruel_summer_yeezus_build_up,Mercy,Cruel Summer + Yeezus build-up,8,2012-09-18,2012,0
sin_city_cruel_summer_yeezus_build_up,Sin City,Cruel Summer + Yeezus build-up,8,2012-09-18,2012,0
skyscrapers_cruel_summer_yeezus_build_up,Skyscrapers,Cruel Summer + Yeezus build-up,8,2012-09-18,2012,0
the_morning_cruel_summer_yeezus_build_up,The Morning,Cruel Summer + Yeezus build-up,8,2012-09-18,2012,0
way_too_cold_cruel_summer_yeezus_build_up,Way Too Cold,Cruel Summer + Yeezus build-up,8,2012-09-18,2012,0
white_dress_cruel_summer_yeezus_build_up,White Dress,Cruel Summer + Yeezus build-up,8,2012-09-18,2012,0
facts_yeezus,')] Facts,Yeezus,9,2013-06-18,2013,0
after_you_yeezus,After You,Yeezus,9,2013-06-18,2013,0
black_skinhead_yeezus,Black Skinhead,Yeezus,9,2013-06-18,2013,0
blood_on_the_leaves_yeezus,Blood on the Leaves,Yeezus,9,2013-06-18,2013,0
fml_yeezus,FML,Yeezus,9,2013-06-18,2013,0
on_sight_yeezus,On Sight,Yeezus,9,2013-06-18,2013,0
piss_on_your_grave_yeezus,Piss On Your Grave,Yeezus,9,2013-06-18,2013,0
bound_2_yeezus,Bound 2,Yeezus,9,2013-07-01,2013,0
can_t_stop_yeezus,Can't Stop,Yeezus,9,2013-07-01,2013,0
drunk_in_love_remix_yeezus,Drunk in Love (Remix),Yeezus,9,2013-07-01,2013,0
guilt_trip_yeezus,Guilt Trip,Yeezus,9,2013-07-01,2013,0
hold_my_liquor_yeezus,Hold My Liquor,Yeezus,9,2013-07-01,2013,0
i_am_a_god_yeezus,I Am a God,Yeezus,9,2013-07-01,2013,0
i_won_yeezus,I Won,Yeezus,9,2013-07-01,2013,0
i_m_in_it_yeezus,I'm In It,Yeezus,9,2013-07-01,2013,0
jukebox_joints_yeezus,Jukebox Joints,Yeezus,9,2013-07-01,2013,0
m_p_a_yeezus,M.P.A.,Yeezus,9,2013-07-01,2013,0
mula_yeezus,Mula,Yeezus,9,2013-07-01,2013,0
new_slaves_yeezus,New Slaves,Yeezus,9,2013-07-01,2013,0
one_man_can_change_the_world_yeezus,One Man Can Change the World,Yeezus,9,2013-07-01,2013,0
sanctified_yeezus,Sanctified,Yeezus,9,2013-07-01,2013,0
send_it_up_yeezus,Send It Up,Yeezus,9,2013-07-01,2013,0
thank_you_yeezus,Thank You,Yeezus,9,2013-07-01,2013,0
u_mad_yeezus,U Mad,Yeezus,9,2013-07-01,2013,0
sanctified_the_life_of_pablo,Sanctified,The Life of Pablo,10,2014-03-04,2014,0
only_one_the_life_of_pablo,Only One,The Life of Pablo,10,2014-12-31,2014,0
fourfiveseconds_the_life_of_pablo,FourFiveSeconds,The Life of Pablo,10,2015-01-24,2015,0
all_day_the_life_of_pablo,All Day,The Life of Pablo,10,2015-03-01,2015,0
30_hours_the_life_of_pablo,30 Hours,The Life of Pablo,10,2016-02-14,2016,0
facts_charlie_heat_version_the_life_of_pablo,Facts (Charlie Heat Version),The Life of Pablo,10,2016-02-14,2016,1
feedback_the_life_of_pablo,Feedback,The Life of Pablo,10,2016-02-14,2016,0
i_love_kanye_the_life_of_pablo,I Love Kanye,The Life of Pablo,10,2016-02-14,2016,1
low_lights_the_life_of_pablo,Low Lights,The Life of Pablo,10,2016-02-14,2016,0
no_more_parties_in_la_the_life_of_pablo,No More Parties in LA,The Life of Pablo,10,2016-02-14,2016,0
all_we_got_the_life_of_pablo,All We Got,The Life of Pablo,10,2016-05-13,2016,0
castro_the_life_of_pablo,Castro,The Life of Pablo,10,2016-07-01,2016,0
fade_the_life_of_pablo,Fade,The Life of Pablo,10,2016-07-01,2016,0
famous_the_life_of_pablo,Famous,The Life of Pablo,10,2016-07-01,2016,0
father_stretch_my_hands_pt_1_the_life_of_pablo,Father Stretch My Hands Pt. 1,The Life of Pablo,10,2016-07-01,2016,0
freestyle_4_the_life_of_pablo,Freestyle 4,The Life of Pablo,10,2016-07-01,2016,0
highlights_the_life_of_pablo,Highlights,The Life of Pablo,10,2016-07-01,2016,0
pt_2_the_life_of_pablo,Pt. 2,The Life of Pablo,10,2016-07-01,2016,0
pussy_print_the_life_of_pablo,Pussy Print,The Life of Pablo,10,2016-07-01,2016,0
real_friends_the_life_of_pablo,Real Friends,The Life of Pablo,10,2016-07-01,2016,0
saint_pablo_the_life_of_pablo,Saint Pablo,The Life of Pablo,10,2016-07-01,2016,0
that_part_the_life_of_pablo,THat Part,The Life of Pablo,10,2016-07-01,2016,0
tiimmy_turner_remix_the_life_of_pablo,Tiimmy Turner (Remix),The Life of Pablo,10,2016-07-01,2016,0
ultralight_beam_the_life_of_pablo,Ultralight Beam,The Life of Pablo,10,2016-07-01,2016,0
waves_the_life_of_pablo,Waves,The Life of Pablo,10,2016-07-01,2016,0
wolves_the_life_of_pablo,Wolves,The Life of Pablo,10,2016-07-01,2016,0
ye_vs_the_people_the_life_of_pablo,Ye vs. the People,The Life of Pablo,10,2018-04-27,2018,0
dat_side_quiet_year,Dat Side,Quiet year,11,2017-07-01,2017,0
feel_me_quiet_year,Feel Me,Quiet year,11,2017-07-01,2017,0
glow_quiet_year,Glow,Quiet year,11,2017-07-01,2017,0
love_yourself_quiet_year,Love Yourself,Quiet year,11,2017-07-01,2017,0
brothers_wyoming_sessions_ye_ksg,Brothers,Wyoming Sessions (ye / KSG),12,2018-06-01,2018,1
everything_wyoming_sessions_ye_ksg,Everything,Wyoming Sessions (ye / KSG),12,2018-06-01,2018,0
i_thought_about_killing_you_wyoming_sessions_ye_ksg,I Thought About Killing You,Wyoming Sessions (ye / KSG),12,2018-06-01,2018,0
lift_yourself_wyoming_sessions_ye_ksg,Lift Yourself,Wyoming Sessions (ye / KSG),12,2018-06-01,2018,0
no_mistakes_wyoming_sessions_ye_ksg,No Mistakes,Wyoming Sessions (ye / KSG),12,2018-06-01,2018,0
the_storm_xxx_wyoming_sessions_ye_ksg,The Storm/XXX,Wyoming Sessions (ye / KSG),12,2018-06-01,2018,0
violent_crimes_wyoming_sessions_ye_ksg,Violent Crimes,Wyoming Sessions (ye / KSG),12,2018-06-01,2018,0
we_got_love_wyoming_sessions_ye_ksg,We Got Love,Wyoming Sessions (ye / KSG),12,2018-06-01,2018,0
xtcy_wyoming_sessions_ye_ksg,XTCY,Wyoming Sessions (ye / KSG),12,2018-06-01,2018,0
yikes_wyoming_sessions_ye_ksg,Yikes,Wyoming Sessions (ye / KSG),12,2018-06-01,2018,1
4th_dimension_wyoming_sessions_ye_ksg,4th Dimension,Wyoming Sessions (ye / KSG),12,2018-06-08,2018,0
cudi_montage_wyoming_sessions_ye_ksg,Cudi Montage,Wyoming Sessions (ye / KSG),12,2018-06-08,2018,0
fire_wyoming_sessions_ye_ksg,Fire,Wyoming Sessions (ye / KSG),12,2018-06-08,2018,0
reborn_wyoming_sessions_ye_ksg,Reborn,Wyoming Sessions (ye / KSG),12,2018-06-08,2018,0
feel_the_love_wyoming_sessions_ye_ksg,Feel the Love,Wyoming Sessions (ye / KSG),12,2018-07-01,2018,0
freeee_ghost_town_pt_2_wyoming_sessions_ye_ksg,Freeee (Ghost Town Pt. 2),Wyoming Sessions (ye / KSG),12,2018-07-01,2018,0
ghost_town_wyoming_sessions_ye_ksg,Ghost Town,Wyoming Sessions (ye / KSG),12,2018-07-01,2018,0
kanga_wyoming_sessions_ye_ksg,KANGA,Wyoming Sessions (ye / KSG),12,2018-07-01,2018,0
kids_see_ghosts_wyoming_sessions_ye_ksg,Kids See Ghosts,Wyoming Sessions (ye / KSG),12,2018-07-01,2018,0
law_of_attraction_wyoming_sessions_ye_ksg,Law of Attraction,Wyoming Sessions (ye / KSG),12,2018-07-01,2018,0
new_body_wyoming_sessions_ye_ksg,New Body,Wyoming Sessions (ye / KSG),12,2018-07-01,2018,0
one_minute_wyoming_sessions_ye_ksg,One Minute,Wyoming Sessions (ye / KSG),12,2018-07-01,2018,0
watch_wyoming_sessions_ye_ksg,Watch,Wyoming Sessions (ye / KSG),12,2018-07-01,2018,0
wouldn_t_leave_wyoming_sessions_ye_ksg,Wouldn't Leave,Wyoming Sessions (ye / KSG),12,2018-07-01,2018,0
i_love_it_wyoming_sessions_ye_ksg,I Love It,Wyoming Sessions (ye / KSG),12,2018-09-06,2018,0
eternal_rest_jesus_is_king,Eternal Rest,Jesus Is King,13,2019-07-01,2019,0
everything_we_need_jesus_is_king,Everything We Need,Jesus Is King,13,2019-07-01,2019,0
hands_on_jesus_is_king,Hands On,Jesus Is King,13,2019-07-01,2019,0
use_this_gospel_jesus_is_king,Use This Gospel,Jesus Is King,13,2019-07-01,2019,0
water_jesus_is_king,Water,Jesus Is King,13,2019-07-01,2019,0
closed_on_sunday_jesus_is_king,Closed on Sunday,Jesus Is King,13,2019-10-25,2019,1
every_hour_jesus_is_king,Every Hour,Jesus Is King,13,2019-10-25,2019,1
follow_god_jesus_is_king,Follow God,Jesus Is King,13,2019-10-25,2019,1
glory_jesus_is_king,Glory,Jesus Is King,13,2019-10-25,2019,0
god_is_jesus_is_king,God Is,Jesus Is King,13,2019-10-25,2019,1
jesus_is_lord_jesus_is_king,Jesus Is Lord,Jesus Is King,13,2019-10-25,2019,1
nah_nah_nah_jesus_is_king,Nah Nah Nah,Jesus Is King,13,2019-10-25,2019,0
selah_jesus_is_king,Selah,Jesus Is King,13,2019-10-25,2019,0
go2damoon_donda,Go2DaMoon,Donda,14,2020-12-25,2020,0
donda_donda,Donda,Donda,14,2021-07-01,2021,1
god_breathed_donda,God Breathed,Donda,14,2021-07-01,2021,0
hurricane_donda,Hurricane,Donda,14,2021-07-01,2021,0
jail_donda,Jail,Donda,14,2021-07-01,2021,0
jail_pt_2_donda,Jail Pt. 2,Donda,14,2021-07-01,2021,0
jesus_lord_donda,Jesus Lord,Donda,14,2021-07-01,2021,0
jesus_lord_pt_2_donda,Jesus Lord Pt. 2,Donda,14,2021-07-01,2021,0
jonah_donda,Jonah,Donda,14,2021-07-01,2021,0
junya_donda,Junya,Donda,14,2021-07-01,2021,0
junya_pt_2_donda,Junya Pt. 2,Donda,14,2021-07-01,2021,0
keep_my_spirit_alive_pt_2_donda,Keep My Spirit Alive Pt. 2,Donda,14,2021-07-01,2021,0
life_of_the_party_donda,Life of the Party,Donda,14,2021-07-01,2021,0
no_child_left_behind_donda,No Child Left Behind,Donda,14,2021-07-01,2021,0
off_the_grid_donda,Off the Grid,Donda,14,2021-07-01,2021,0
ok_ok_donda,Ok Ok,Donda,14,2021-07-01,2021,0
ok_ok_pt_2_donda,Ok Ok Pt. 2,Donda,14,2021-07-01,2021,0
praise_god_donda,Praise God,Donda,14,2021-07-01,2021,0
pure_souls_donda,Pure Souls,Donda,14,2021-07-01,2021,0
