track_id,duration_seconds,line_count,verse_count,word_count,words_per_second,words_per_minute,lines_per_minute,avg_line_length_words,kanye_verse_share,fetch_timestamp
gone_late_registration,332.0000,53,4,485,1.460843,87.650580,9.578313,9.150943,,2026-05-12T16:42:07Z
heard_em_say_late_registration,203.0000,49,6,357,1.758621,105.517260,14.482759,7.285714,,2026-05-12T16:42:07Z
hey_mama_late_registration,,85,7,714,,,,8.400000,,2026-05-12T16:42:07Z
late_late_registration,,81,10,570,,,,7.037037,,2026-05-12T16:42:07Z
roses_late_registration,,42,2,349,,,,8.309524,,2026-05-12T16:42:07Z
skit_1_late_registration,,16,2,122,,,,7.625000,,2026-05-12T16:42:07Z
skit_2_late_registration,,17,2,109,,,,6.411765,,2026-05-12T16:42:07Z
skit_3_late_registration,,10,2,81,,,,8.100000,,2026-05-12T16:42:07Z
skit_4_late_registration,,21,11,254,,,,12.095238,,2026-05-12T16:42:07Z
touch_the_sky_late_registration,237.0000,62,9,566,2.388186,143.291160,15.696203,9.129032,,2026-05-12T16:42:07Z
we_can_make_it_better_late_registration,,75,8,317,,,,4.226667,,2026-05-12T16:42:07Z
we_major_late_registration,,80,8,545,,,,6.812500,,2026-05-12T16:42:07Z
impossible_late_registration,,19,1,148,,,,7.789474,,2026-05-12T16:42:07Z
grammy_family_late_registration,,46,4,337,,,,7.326087,1.000000,2026-05-12T16:42:07Z
barry_bonds_graduation,,49,12,350,,,,7.142857,1.000000,2026-05-12T16:42:07Z
because_of_you_remix_graduation,,26,1,185,,,,7.115385,1.000000,2026-05-12T16:42:07Z
bittersweet_poetry_graduation,,70,7,557,,,,7.957143,1.000000,2026-05-12T16:42:07Z
buy_you_a_drank_remix_graduation,,24,2,241,,,,10.041667,1.000000,2026-05-12T16:42:07Z
drunk_and_hot_girls_graduation,,79,11,406,,,,5.139241,1.000000,2026-05-12T16:42:07Z
flashing_lights_graduation,237.0000,32,2,229,0.966245,57.974700,8.101266,7.156250,1.000000,2026-05-12T16:42:07Z
good_life_graduation,207.0000,83,5,505,2.439614,146.376840,24.057971,6.084337,1.000000,2026-05-12T16:42:07Z
good_night_graduation,,24,2,224,,,,9.333333,1.000000,2026-05-12T16:42:07Z
homecoming_graduation,203.0000,42,4,381,1.876847,112.610820,12.413793,9.071429,1.000000,2026-05-12T16:42:07Z
in_the_mood_graduation,,48,3,388,,,,8.083333,1.000000,2026-05-12T16:42:07Z
southside_graduation,,137,11,514,,,,3.751825,1.000000,2026-05-12T16:42:07Z
stay_up_viagra_graduation,,68,4,349,,,,5.132353,1.000000,2026-05-12T16:42:07Z
big_brother_graduation,,91,12,863,,,,9.483516,,2026-05-12T16:42:07Z
can_t_tell_me_nothing_graduation,271.0000,104,12,599,2.210332,132.619920,23.025830,5.759615,,2026-05-12T16:42:07Z
good_morning_graduation,,49,8,287,,,,5.857143,,2026-05-12T16:42:07Z
i_wonder_graduation,,31,3,272,,,,8.774194,,2026-05-12T16:42:07Z
stronger_graduation,315.0000,151,9,899,2.853968,171.238080,28.761905,5.953642,,2026-05-12T16:42:07Z
the_glory_graduation,,83,6,625,,,,7.530120,,2026-05-12T16:42:07Z
american_boy_808s_heartbreak,,33,2,247,,,,7.484848,0.322876,2026-05-12T16:42:07Z
amazing_808s_heartbreak,238.0000,77,10,258,1.084034,65.042040,19.411765,3.350649,1.000000,2026-05-12T16:42:07Z
digital_girl_808s_heartbreak,,36,2,294,,,,8.166667,1.000000,2026-05-12T16:42:07Z
everybody_808s_heartbreak,,58,3,255,,,,4.396552,1.000000,2026-05-12T16:42:07Z
everyone_nose_remix_808s_heartbreak,,38,4,290,,,,7.631579,1.000000,2026-05-12T16:42:07Z
finer_things_808s_heartbreak,,18,2,144,,,,8.000000,1.000000,2026-05-12T16:42:07Z
go_hard_808s_heartbreak,272.0000,67,4,579,2.128676,127.720560,14.779412,8.641791,1.000000,2026-05-12T16:42:07Z
i_still_love_h_e_r_808s_heartbreak,,74,8,456,,,,6.162162,1.000000,2026-05-12T16:42:07Z
it_s_over_808s_heartbreak,,16,1,91,,,,5.687500,1.000000,2026-05-12T16:42:07Z
paranoid_808s_heartbreak,,74,8,429,,,,5.797297,1.000000,2026-05-12T16:42:07Z
punch_drunk_love_808s_heartbreak,,42,4,201,,,,4.785714,1.000000,2026-05-12T16:42:07Z
see_you_in_my_nightmares_808s_heartbreak,258.0000,46,7,278,1.077519,64.651140,10.697674,6.043478,1.000000,2026-05-12T16:42:07Z
welcome_to_heartbreak_808s_heartbreak,,59,8,356,,,,6.033898,1.000000,2026-05-12T16:42:07Z
lollipop_remix_808s_heartbreak,,20,1,194,,,,9.700000,0.238037,2026-05-12T16:42:07Z
put_on_808s_heartbreak,,30,3,259,,,,8.633333,0.307601,2026-05-12T16:42:07Z
swagga_like_us_808s_heartbreak,,16,1,119,,,,7.437500,0.109275,2026-05-12T16:42:07Z
coldest_winter_808s_heartbreak,,26,8,214,,,,8.230769,,2026-05-12T16:42:07Z
heartless_808s_heartbreak,211.0000,62,9,462,2.189573,131.374380,17.630332,7.451613,,2026-05-12T16:42:07Z
love_lockdown_808s_heartbreak,270.0000,52,7,396,1.466667,88.000020,11.555556,7.615385,,2026-05-12T16:42:07Z
pinocchio_story_808s_heartbreak,,70,7,587,,,,8.385714,,2026-05-12T16:42:07Z
robocop_808s_heartbreak,,71,10,467,,,,6.577465,,2026-05-12T16:42:07Z
say_you_will_808s_heartbreak,,26,10,219,,,,8.423077,,2026-05-12T16:42:07Z
street_lights_808s_heartbreak,,38,7,296,,,,7.789474,,2026-05-12T16:42:07Z
american_boy_post_808s_feature_run,,52,2,247,,,,4.750000,1.000000,2026-05-12T16:42:07Z
knock_you_down_post_808s_feature_run,,20,1,173,,,,8.650000,0.197039,2026-05-12T16:42:07Z
mama_s_boyfriend_post_808s_feature_run,,66,7,549,,,,8.318182,,2026-05-12T16:42:07Z
alright_post_808s_feature_run,,18,1,173,,,,9.611111,1.000000,2026-05-12T16:42:07Z
anyone_but_him_post_808s_feature_run,,33,3,207,,,,6.272727,1.000000,2026-05-12T16:42:07Z
ayyy_girl_post_808s_feature_run,,16,1,137,,,,8.562500,1.000000,2026-05-12T16:42:07Z
digital_girl_remix_post_808s_feature_run,,26,2,210,,,,8.076923,1.000000,2026-05-12T16:42:07Z
ego_remix_post_808s_feature_run,,24,1,241,,,,10.041667,1.000000,2026-05-12T16:42:07Z
gifted_post_808s_feature_run,,31,2,206,,,,6.645161,1.000000,2026-05-12T16:42:07Z
hate_post_808s_feature_run,,17,3,102,,,,6.000000,1.000000,2026-05-12T16:42:07Z
maybach_music_2_post_808s_feature_run,,18,2,140,,,,7.777778,1.000000,2026-05-12T16:42:07Z
sailing_not_selling_post_808s_feature_run,,22,1,210,,,,9.545455,1.000000,2026-05-12T16:42:07Z
the_big_screen_post_808s_feature_run,,65,7,310,,,,4.769231,1.000000,2026-05-12T16:42:07Z
whatever_u_want_post_808s_feature_run,,30,5,205,,,,6.833333,1.000000,2026-05-12T16:42:07Z
run_this_town_post_808s_feature_run,,24,1,209,,,,8.708333,0.285910,2026-05-12T16:42:07Z
forever_post_808s_feature_run,357.0000,22,1,204,0.571429,34.285740,3.697479,9.272727,0.176471,2026-05-12T16:42:07Z
make_her_say_post_808s_feature_run,,25,2,158,,,,6.320000,0.197007,2026-05-12T16:42:07Z
alors_on_danse_remix_g_o_o_d_fridays_mbdtf,,38,5,209,,,,5.500000,1.000000,2026-05-12T16:42:07Z
blame_game_g_o_o_d_fridays_mbdtf,,64,6,548,,,,8.562500,1.000000,2026-05-12T16:42:07Z
blazin_g_o_o_d_fridays_mbdtf,,39,2,332,,,,8.512821,1.000000,2026-05-12T16:42:07Z
deuces_remix_g_o_o_d_fridays_mbdtf,,17,1,167,,,,9.823529,1.000000,2026-05-12T16:42:07Z
devil_in_a_new_dress_g_o_o_d_fridays_mbdtf,,44,6,403,,,,9.159091,1.000000,2026-05-12T16:42:07Z
erase_me_g_o_o_d_fridays_mbdtf,193.0000,23,2,207,1.072539,64.352340,7.150259,9.000000,1.000000,2026-05-12T16:42:07Z
gorgeous_g_o_o_d_fridays_mbdtf,,59,3,528,,,,8.949153,1.000000,2026-05-12T16:42:07Z
live_fast_die_young_g_o_o_d_fridays_mbdtf,,66,5,452,,,,6.848485,1.000000,2026-05-12T16:42:07Z
lost_in_the_world_g_o_o_d_fridays_mbdtf,231.0000,41,6,307,1.329004,79.740240,10.649351,7.487805,1.000000,2026-05-12T16:42:07Z
power_g_o_o_d_fridays_mbdtf,292.0000,67,7,495,1.695205,101.712300,13.767123,7.388060,1.000000,2026-05-12T16:42:07Z
runaway_g_o_o_d_fridays_mbdtf,547.0000,73,9,535,0.978062,58.683720,8.007313,7.328767,1.000000,2026-05-12T16:42:07Z
start_it_up_g_o_o_d_fridays_mbdtf,,50,3,278,,,,5.560000,1.000000,2026-05-12T16:42:07Z
all_of_the_lights_g_o_o_d_fridays_mbdtf,260.0000,26,4,189,0.726923,43.615380,6.000000,7.269231,,2026-05-12T16:42:07Z
dark_fantasy_g_o_o_d_fridays_mbdtf,281.0000,37,3,277,0.985765,59.145900,7.900356,7.486486,,2026-05-12T16:42:07Z
hell_of_a_life_g_o_o_d_fridays_mbdtf,,71,9,590,,,,8.309859,,2026-05-12T16:42:07Z
monster_g_o_o_d_fridays_mbdtf,378.0000,52,4,449,1.187831,71.269860,8.253968,8.634615,,2026-05-12T16:42:07Z
so_appalled_g_o_o_d_fridays_mbdtf,,38,3,261,,,,6.868421,,2026-05-12T16:42:07Z
who_will_survive_in_america_g_o_o_d_fridays_mbdtf,,1,1,47,,,,47.000000,,2026-05-12T16:42:07Z
e_t_remix_watch_the_throne,208.0000,17,2,155,0.745192,44.711520,4.903846,9.117647,1.000000,2026-05-12T16:42:07Z
eyez_closed_watch_the_throne,,21,1,202,,,,9.619048,1.000000,2026-05-12T16:42:07Z
lift_off_watch_the_throne,,18,2,115,,,,6.388889,1.000000,2026-05-12T16:42:07Z
made_in_america_watch_the_throne,,16,1,146,,,,9.125000,1.000000,2026-05-12T16:42:07Z
marvin_chardonnay_watch_the_throne,,76,9,524,,,,6.894737,1.000000,2026-05-12T16:42:07Z
no_church_in_the_wild_watch_the_throne,272.0000,21,1,140,0.514706,30.882360,4.632353,6.666667,1.000000,2026-05-12T16:42:07Z
same_time_watch_the_throne,,17,1,130,,,,7.647059,1.000000,2026-05-12T16:42:07Z
sing_a_song_watch_the_throne,,118,4,1196,,,,10.135593,1.000000,2026-05-12T16:42:07Z
the_joy_watch_the_throne,,33,2,282,,,,8.545455,1.000000,2026-05-12T16:42:07Z
touch_it_watch_the_throne,,15,4,145,,,,9.666667,1.000000,2026-05-12T16:42:07Z
why_i_love_you_watch_the_throne,,43,3,268,,,,6.232558,1.000000,2026-05-12T16:42:07Z
gotta_have_it_watch_the_throne,140.0000,34,3,311,2.221429,133.285740,14.571429,9.147059,0.682018,2026-05-12T16:42:07Z
illest_motherfucker_alive_watch_the_throne,,43,5,358,,,,8.325581,0.549080,2026-05-12T16:42:07Z
murder_to_excellence_watch_the_throne,,44,6,363,,,,8.250000,0.482713,2026-05-12T16:42:07Z
new_day_watch_the_throne,,27,2,212,,,,7.851852,0.359932,2026-05-12T16:42:07Z
niggas_in_paris_watch_the_throne,,46,7,334,,,,7.260870,1.000000,2026-05-12T16:42:07Z
otis_watch_the_throne,178.0000,24,3,214,1.202247,72.134820,8.089888,8.916667,0.437628,2026-05-12T16:42:07Z
primetime_watch_the_throne,,45,4,392,,,,8.711111,0.861538,2026-05-12T16:42:07Z
that_s_my_bitch_watch_the_throne,,34,4,273,,,,8.029412,0.465077,2026-05-12T16:42:07Z
who_gon_stop_me_watch_the_throne,257.0000,62,6,498,1.937743,116.264580,14.474708,8.032258,0.617866,2026-05-12T16:42:07Z
theraflu_cruel_summer_yeezus_build_up,,52,7,444,,,,8.538462,,2026-05-12T16:42:07Z
amen_cruel_summer_yeezus_build_up,,25,2,180,,,,7.200000,1.000000,2026-05-12T16:42:07Z
awesome_cruel_summer_yeezus_build_up,,67,8,317,,,,4.731343,1.000000,2026-05-12T16:42:07Z
i_wish_you_would_cruel_summer_yeezus_build_up,238.0000,54,8,452,1.899160,113.949600,13.613445,8.370370,1.000000,2026-05-12T16:42:07Z
the_one_cruel_summer_yeezus_build_up,,16,1,150,,,,9.375000,1.000000,2026-05-12T16:42:07Z
to_the_world_cruel_summer_yeezus_build_up,231.0000,18,4,144,0.623377,37.402620,4.675325,8.000000,1.000000,2026-05-12T16:42:07Z
birthday_song_cruel_summer_yeezus_build_up,306.0000,34,3,306,1.000000,60.000000,6.666667,9.000000,0.330097,2026-05-12T16:42:07Z
bliss_cruel_summer_yeezus_build_up,,9,3,87,,,,9.666667,,2026-05-12T16:42:07Z
clique_cruel_summer_yeezus_build_up,293.0000,33,2,285,0.972696,58.361760,6.757679,8.636364,,2026-05-12T16:42:07Z
cold_cruel_summer_yeezus_build_up,219.0000,52,7,444,2.027397,121.643820,14.246575,8.538462,,2026-05-12T16:42:07Z
creepers_cruel_summer_yeezus_build_up,,46,5,422,,,,9.173913,,2026-05-12T16:42:07Z
i_don_t_like_remix_cruel_summer_yeezus_build_up,,32,1,183,,,,5.718750,,2026-05-12T16:42:07Z
mercy_cruel_summer_yeezus_build_up,333.0000,34,2,262,0.786787,47.207220,6.126126,7.705882,,2026-05-12T16:42:07Z
sin_city_cruel_summer_yeezus_build_up,,59,6,361,,,,6.118644,,2026-05-12T16:42:07Z
the_morning_cruel_summer_yeezus_build_up,,1,1,4,,,,4.000000,,2026-05-12T16:42:07Z
way_too_cold_cruel_summer_yeezus_build_up,,55,9,444,,,,8.072727,,2026-05-12T16:42:07Z
white_dress_cruel_summer_yeezus_build_up,,78,5,671,,,,8.602564,,2026-05-12T16:42:07Z
facts_yeezus,,57,7,464,,,,8.140351,,2026-05-12T16:42:07Z
after_you_yeezus,,85,20,622,,,,7.317647,,2026-05-12T16:42:07Z
black_skinhead_yeezus,188.0000,85,8,454,2.414894,144.893640,27.127660,5.341176,,2026-05-12T16:42:07Z
blood_on_the_leaves_yeezus,360.0000,76,8,516,1.433333,85.999980,12.666667,6.789474,,2026-05-12T16:42:07Z
fml_yeezus,,57,3,322,,,,5.649123,,2026-05-12T16:42:07Z
on_sight_yeezus,,42,7,242,,,,5.761905,,2026-05-12T16:42:07Z
piss_on_your_grave_yeezus,,25,4,213,,,,8.520000,,2026-05-12T16:42:07Z
bound_2_yeezus,229.0000,55,5,366,1.598253,95.895180,14.410480,6.654545,1.000000,2026-05-12T16:42:07Z
can_t_stop_yeezus,,16,1,149,,,,9.312500,1.000000,2026-05-12T16:42:07Z
drunk_in_love_remix_yeezus,,27,1,254,,,,9.407407,1.000000,2026-05-12T16:42:07Z
guilt_trip_yeezus,,27,3,197,,,,7.296296,1.000000,2026-05-12T16:42:07Z
hold_my_liquor_yeezus,,51,4,283,,,,5.549020,1.000000,2026-05-12T16:42:07Z
i_am_a_god_yeezus,,51,9,281,,,,5.509804,1.000000,2026-05-12T16:42:07Z
i_won_yeezus,,15,1,135,,,,9.000000,1.000000,2026-05-12T16:42:07Z
i_m_in_it_yeezus,,66,6,462,,,,7.000000,1.000000,2026-05-12T16:42:07Z
jukebox_joints_yeezus,,19,1,143,,,,7.526316,1.000000,2026-05-12T16:42:07Z
m_p_a_yeezus,,16,4,68,,,,4.250000,1.000000,2026-05-12T16:42:07Z
mula_yeezus,,38,3,267,,,,7.026316,1.000000,2026-05-12T16:42:07Z
new_slaves_yeezus,256.0000,72,14,535,2.089844,125.390640,16.875000,7.430556,1.000000,2026-05-12T16:42:07Z
one_man_can_change_the_world_yeezus,,9,1,87,,,,9.666667,1.000000,2026-05-12T16:42:07Z
sanctified_yeezus,,24,4,193,,,,8.041667,1.000000,2026-05-12T16:42:07Z
send_it_up_yeezus,,23,3,171,,,,7.434783,1.000000,2026-05-12T16:42:07Z
thank_you_yeezus,,11,1,60,,,,5.454545,1.000000,2026-05-12T16:42:07Z
u_mad_yeezus,,50,5,340,,,,6.800000,1.000000,2026-05-12T16:42:07Z
sanctified_the_life_of_pablo,289.0000,22,2,193,0.667820,40.069200,4.567474,8.772727,0.331046,2026-05-12T16:42:07Z
only_one_the_life_of_pablo,282.0000,48,7,393,1.393617,83.617020,10.212766,8.187500,,2026-05-12T16:42:07Z
fourfiveseconds_the_life_of_pablo,188.0000,25,5,177,0.941489,56.489340,7.978723,7.080000,,2026-05-12T16:42:07Z
all_day_the_life_of_pablo,310.0000,76,7,603,1.945161,116.709660,14.709677,7.934211,,2026-05-12T16:42:07Z
30_hours_the_life_of_pablo,,100,5,691,,,,6.910000,,2026-05-12T16:42:07Z
facts_charlie_heat_version_the_life_of_pablo,,58,7,557,,,,9.603448,,2026-05-12T16:42:07Z
feedback_the_life_of_pablo,147.0000,53,10,442,3.006803,180.408180,21.632653,8.339623,,2026-05-12T16:42:07Z
i_love_kanye_the_life_of_pablo,,15,2,186,,,,12.400000,,2026-05-12T16:42:07Z
low_lights_the_life_of_pablo,,38,3,308,,,,8.105263,,2026-05-12T16:42:07Z
no_more_parties_in_la_the_life_of_pablo,,128,5,1128,,,,8.812500,,2026-05-12T16:42:07Z
all_we_got_the_life_of_pablo,,44,4,259,,,,5.886364,0.506849,2026-05-12T16:42:07Z
castro_the_life_of_pablo,,95,6,425,,,,4.473684,1.000000,2026-05-12T16:42:07Z
fade_the_life_of_pablo,,15,1,77,,,,5.133333,1.000000,2026-05-12T16:42:07Z
famous_the_life_of_pablo,,40,3,223,,,,5.575000,1.000000,2026-05-12T16:42:07Z
father_stretch_my_hands_pt_1_the_life_of_pablo,,30,3,225,,,,7.500000,1.000000,2026-05-12T16:42:07Z
freestyle_4_the_life_of_pablo,,36,3,211,,,,5.861111,1.000000,2026-05-12T16:42:07Z
highlights_the_life_of_pablo,,65,6,465,,,,7.153846,1.000000,2026-05-12T16:42:07Z
pt_2_the_life_of_pablo,,52,12,239,,,,4.596154,1.000000,2026-05-12T16:42:07Z
pussy_print_the_life_of_pablo,,14,1,130,,,,9.285714,1.000000,2026-05-12T16:42:07Z
real_friends_the_life_of_pablo,,72,5,529,,,,7.347222,1.000000,2026-05-12T16:42:07Z
saint_pablo_the_life_of_pablo,,73,3,635,,,,8.698630,1.000000,2026-05-12T16:42:07Z
that_part_the_life_of_pablo,,50,3,316,,,,6.320000,1.000000,2026-05-12T16:42:07Z
tiimmy_turner_remix_the_life_of_pablo,,26,1,155,,,,5.961538,1.000000,2026-05-12T16:42:07Z
ultralight_beam_the_life_of_pablo,,24,4,137,,,,5.708333,1.000000,2026-05-12T16:42:07Z
waves_the_life_of_pablo,,21,10,101,,,,4.809524,1.000000,2026-05-12T16:42:07Z
wolves_the_life_of_pablo,,56,5,362,,,,6.464286,1.000000,2026-05-12T16:42:07Z
ye_vs_the_people_the_life_of_pablo,202.0000,37,37,369,1.826733,109.603980,10.990099,9.972973,,2026-05-12T16:42:07Z
dat_side_quiet_year,,16,1,192,,,,12.000000,1.000000,2026-05-12T16:42:07Z
feel_me_quiet_year,,60,6,381,,,,6.350000,1.000000,2026-05-12T16:42:07Z
glow_quiet_year,206.0000,34,8,249,1.208738,72.524280,9.902913,7.323529,1.000000,2026-05-12T16:42:07Z
love_yourself_quiet_year,,14,2,145,,,,10.357143,1.000000,2026-05-12T16:42:07Z
brothers_wyoming_sessions_ye_ksg,,81,5,465,,,,5.740741,,2026-05-12T16:42:07Z
everything_wyoming_sessions_ye_ksg,116.0000,27,5,149,1.284483,77.068980,13.965517,5.518519,,2026-05-12T16:42:07Z
i_thought_about_killing_you_wyoming_sessions_ye_ksg,274.0000,35,2,345,1.259124,75.547440,7.664234,9.857143,,2026-05-12T16:42:07Z
lift_yourself_wyoming_sessions_ye_ksg,,18,6,87,,,,4.833333,,2026-05-12T16:42:07Z
no_mistakes_wyoming_sessions_ye_ksg,123.0000,16,1,164,1.333333,79.999980,7.804878,10.250000,,2026-05-12T16:42:07Z
the_storm_xxx_wyoming_sessions_ye_ksg,,7,1,33,,,,4.714286,,2026-05-12T16:42:07Z
violent_crimes_wyoming_sessions_ye_ksg,215.0000,38,1,311,1.446512,86.790720,10.604651,8.184211,,2026-05-12T16:42:07Z
we_got_love_wyoming_sessions_ye_ksg,,20,2,98,,,,4.900000,,2026-05-12T16:42:07Z
xtcy_wyoming_sessions_ye_ksg,,56,9,373,,,,6.660714,,2026-05-12T16:42:07Z
yikes_wyoming_sessions_ye_ksg,188.0000,63,9,485,2.579787,154.787220,20.106383,7.698413,,2026-05-12T16:42:07Z
4th_dimension_wyoming_sessions_ye_ksg,153.0000,12,1,106,0.692810,41.568600,4.705882,8.833333,0.230937,2026-05-12T16:42:07Z
cudi_montage_wyoming_sessions_ye_ksg,,63,3,354,,,,5.619048,0.591973,2026-05-12T16:42:07Z
fire_wyoming_sessions_ye_ksg,141.0000,8,2,85,0.602837,36.170220,3.404255,10.625000,0.301418,2026-05-12T16:42:07Z
reborn_wyoming_sessions_ye_ksg,324.0000,12,1,103,0.317901,19.074060,2.222222,8.583333,0.160436,2026-05-12T16:42:07Z
feel_the_love_wyoming_sessions_ye_ksg,,49,6,312,,,,6.367347,1.000000,2026-05-12T16:42:07Z
freeee_ghost_town_pt_2_wyoming_sessions_ye_ksg,,18,3,86,,,,4.777778,1.000000,2026-05-12T16:42:07Z
ghost_town_wyoming_sessions_ye_ksg,,16,1,98,,,,6.125000,1.000000,2026-05-12T16:42:07Z
