album,album_release_year,is_collab,source,score_raw,score_normalized_100,review_date,reviewer_name,review_url,review_word_count,review_text_excerpt,fetch_timestamp,parser_note
Watch the Throne with Jay-Z,2011,True,rolling_stone,3.5/5,70.0,2011-09-01,Jody Rosen,https://www.rollingstone.com/music/albumreviews/watch-the-throne-20110811,703,"Jody Rosen Watching the throne may be harmful to your eyes. The long-awaited, wildly hyped joint effort by Jay-Z and Kanye West has arrived at last, and it gives off a gilded glare – both from the actual cover (the deluxe CD edition, designed by Givenchy Creative Director Riccardo Tisci, …",2026-05-10T22:04:57Z,
Yeezus,2013,False,metacritic,84/100 (46 critics),84.0,,,https://www.metacritic.com/music/yeezus/kanye-west,0,,2026-05-10T22:04:57Z,
Yeezus,2013,False,pitchfork_original,9.5/10,95.0,2013-06-18,Ryan Dombal,https://pitchfork.com/reviews/albums/18172-kanye-west-yeezus,1603,"Look at the song title ""I Am a God"" and it seems like easy blasphemy-- Kanye West's update of John Lennon's ""more popular than Jesus"" shocker from 1966. But just as the Beatle's proclamation was fuller and wiser in context-- ""I believe that what people call God is something in …",2026-05-10T22:04:57Z,
Yeezus,2013,False,pitchfork_retrospective,no_retrospective,,,,https://pitchfork.com/reviews/albums/,0,,2026-05-10T22:04:57Z,No Pitchfork Sunday Review / retrospective slug discovered for this title (manual archive search).
Yeezus,2013,False,rolling_stone,4.5/5,90.0,2013-06-14,Jon Dolan,https://www.rollingstone.com/music/albumreviews/yeezus-20130614,654,"Jon Dolan “You see it’s leaders, and it’s followers,” Kanye West tells us. “But I’d rather be a dick than a swallower.” And Yeezus, Mary and Yoseph, does he mean it. Yeezus is the darkest, most extreme music Kanye has ever cooked up, an extravagantly abrasive album full of grinding …",2026-05-10T22:04:57Z,
The Life of Pablo,2016,False,metacritic,75/100 (35 critics),75.0,,,https://www.metacritic.com/music/the-life-of-pablo/kanye-west,0,,2026-05-10T22:04:57Z,
The Life of Pablo,2016,False,pitchfork_original,9/10,90.0,2016-02-15,Jayson Greene,https://pitchfork.com/reviews/albums/21542-the-life-of-pablo,2185,"Pablo Picasso and Kanye West share many qualities—impatience with formal schooling, insatiable and complicated sexual appetites, a vampiric fascination with beautiful women as muses—but Pablo Picasso was never called an asshole. Kanye, specifically, toasted them. The Life of Pablo’s namesake is a provocation, a mystery, a sly acknowledgement of multitudes: …",2026-05-10T22:04:57Z,
The Life of Pablo,2016,False,pitchfork_retrospective,no_retrospective,,,,https://pitchfork.com/reviews/albums/,0,,2026-05-10T22:04:57Z,No Pitchfork Sunday Review / retrospective slug discovered for this title (manual archive search).
The Life of Pablo,2016,False,rolling_stone,4.5/5,90.0,2016-02-16,Rob Sheffield,https://www.rollingstone.com/music/albumreviews/kanye-west-the-life-of-pablo-20160216,716,"Rob Sheffield The world has distracted from Kanye West ‘s creative process – except, as he shows on The Life of Pablo , distraction is his creative process. This is a messy album that feels like it was made that way on purpose, after the laser-sharp intensity of Yeezus . …",2026-05-10T22:04:57Z,
ye,2018,False,metacritic,64/100 (34 critics),64.0,,,https://www.metacritic.com/music/ye/kanye-west,0,,2026-05-10T22:04:57Z,
ye,2018,False,pitchfork_original,7.1/10,71.0,2018-06-04,Meaghan Garvey,https://pitchfork.com/reviews/albums/kanye-west-ye,2001,"There is something about the crumbling of American civilization that makes you want to say “fuck it” and go full cowboy; cue Kanye West and friends cosplaying Wyoming as a concept, living out a dude-ranch fantasy beneath the Tetons. It was there, in Jackson Hole—the most economically imbalanced city in …",2026-05-10T22:04:57Z,
ye,2018,False,pitchfork_retrospective,no_retrospective,,,,https://pitchfork.com/reviews/albums/,0,,2026-05-10T22:04:57Z,No Pitchfork Sunday Review / retrospective slug discovered for this title (manual archive search).
ye,2018,False,rolling_stone,2.5/5,50.0,2018-06-05,Rob Sheffield,https://www.rollingstone.com/music/albumreviews/review-kanye-west-ye-album-rob-sheffield-review-w521089,1058,"Rob Sheffield It’s been a mighty grim year to be a Kanye fan. For a lot of people, this guy is just a celebrity douchebag who dabbles in music on the side. But for the first time, it sounds like Kanye agrees with them. It always seemed like he cultivated …",2026-05-10T22:04:57Z,
Kids See Ghosts with Kid Cudi,2018,True,metacritic,84/100 (18 critics),84.0,,,https://www.metacritic.com/music/kids-see-ghosts/kids-see-ghosts,0,,2026-05-10T22:04:57Z,
Kids See Ghosts with Kid Cudi,2018,True,pitchfork_original,7.6/10,76.0,2018-06-11,Jayson Greene,https://pitchfork.com/reviews/albums/kanye-west-kid-cudi-kids-see-ghosts,1216,"He just turned 41, and Kanye West still craves nothing more than to make a big mess, plunge into it headfirst, and take us with him. This impulse unites him with his dragon-energy brother in the White House, who similarly revels in just saying it out loud to see how …",2026-05-10T22:04:57Z,
Kids See Ghosts with Kid Cudi,2018,True,pitchfork_retrospective,no_retrospective,,,,https://pitchfork.com/reviews/albums/,0,,2026-05-10T22:04:57Z,No Pitchfork Sunday Review / retrospective slug discovered for this title (manual archive search).
Kids See Ghosts with Kid Cudi,2018,True,rolling_stone,3/5,60.0,2018-06-11,Christopher R. Weingarten,https://www.rollingstone.com/music/albumreviews/kanye-west-kid-cudi-kids-see-ghosts-lp-album-w521387,949,"Christopher R. Weingarten Through day ‘n’ night, cruel summers and G.O.O.D. Fridays, superstar button-pusher Kanye West and paranoid android cult hero Kid Cudi have remained thought leaders since they started working together nearly 10 years ago. Kanye’s grain-rubbing résumé in the last decade includes a nine-minute vocoder-prog opus, a minimalist …",2026-05-10T22:04:57Z,
Jesus Is King,2019,False,metacritic,53/100 (25 critics),53.0,,,https://www.metacritic.com/music/jesus-is-king/kanye-west,0,,2026-05-10T22:04:57Z,
Jesus Is King,2019,False,pitchfork_original,7.2/10,72.0,2019-10-29,Rawiya Kameir,https://pitchfork.com/reviews/albums/kanye-west-jesus-is-king,1303,"In 1964, in the small, rural community of Longdale, Mississippi, a group of black worshippers at the Mount Zion Methodist Church were ambushed by the Ku Klux Klan. The attackers, some of whom were allegedly dressed in police uniform, broke one man’s jaw, viciously beat others, and ultimately burned the …",2026-05-10T22:04:57Z,
Jesus Is King,2019,False,pitchfork_retrospective,no_retrospective,,,,https://pitchfork.com/reviews/albums/,0,,2026-05-10T22:04:57Z,No Pitchfork Sunday Review / retrospective slug discovered for this title (manual archive search).
Jesus Is King,2019,False,rolling_stone,2.5/5,50.0,2019-10-28,Brendan Klinkenberg,https://www.rollingstone.com/music/music-album-reviews/kanye-wests-jesus-is-king-904921/,2729,"Brendan Klinkenberg Kanye West never stopped talking about God. From his breakout “ Jesus Walks ” to last year’s ye , religion has always been, if not a fixation, than a thematic concern, something to pick at and analyze, to mythologize and aid in his own self-mythologization. While his ninth …",2026-05-10T22:04:57Z,
Donda,2021,False,metacritic,53/100,53.0,,,https://www.metacritic.com/music/donda/kanye-west,0,,2026-05-10T22:04:57Z,Deluxe edition (Nov 2021) adds 5 tracks; reception data reflects launch Donda only.
Donda,2021,False,pitchfork_original,6/10,60.0,2021-08-31,Dylan Green,https://pitchfork.com/reviews/albums/kanye-west-donda,1111,"Contending with Kanye used to be so thrilling. There was sport in watching a rapper go toe-to-toe with their own ego the way he did, all in service of passionate pop music that lived on the knife-edge of spectacle and solipsism. He was a tightrope walker in shutter shades and …",2026-05-10T22:04:57Z,Deluxe edition (Nov 2021) adds 5 tracks; reception data reflects launch Donda only.
Donda,2021,False,pitchfork_retrospective,no_retrospective,,,,https://pitchfork.com/reviews/albums/,0,,2026-05-10T22:04:57Z,Deluxe edition (Nov 2021) adds 5 tracks; reception data reflects launch Donda only. | No Pitchfork Sunday Review / retrospective slug discovered for this title (manual archive search).
Donda,2021,False,rolling_stone,2/5,40.0,2021-09-01,Paul Thompson,https://www.rollingstone.com/music/music-album-reviews/kanye-wests-donda-review-1219244/,1871,"Paul Thompson Kanye West ’s new album opens with an extended chant of his dead mother’s name, which gives way to an exuberant, drumless track with lyrics about being arrested and taken to jail. Taken together, this first three-and-a-half minute stretch of Donda is the kind of tonally complex, musically …",2026-05-10T22:04:57Z,Deluxe edition (Nov 2021) adds 5 tracks; reception data reflects launch Donda only.
Donda 2,2022,False,metacritic,48/100,48.0,,,https://www.metacritic.com/music/donda-2/kanye-west,0,,2026-05-10T22:04:57Z,
Donda 2,2022,False,pitchfork_original,4.3/10,43.0,2022-03-02,Alphonse Pierre,https://pitchfork.com/reviews/albums/kanye-west-donda-2-v22222-miami,1277,"For all the theatrics, mythmaking, and assholery that come along with a Kanye West album, at the center of it all used to be the music. I challenge anyone to watch the first two episodes of jeen-yuhs, the new three-part documentary about West’s early years, and not come away feeling …",2026-05-10T22:04:57Z,
Donda 2,2022,False,pitchfork_retrospective,no_retrospective,,,,https://pitchfork.com/reviews/albums/,0,,2026-05-10T22:04:57Z,No Pitchfork Sunday Review / retrospective slug discovered for this title (manual archive search).
Donda 2,2022,False,rolling_stone,no_score,,2022-03-03,Jeff Ihaza,https://www.rollingstone.com/music/music-features/kanye-west-vibe-shift-1314514/,1695,"Jeff Ihaza The stories we tell our children help them see the scale of their potential. The most heartbreaking scenes from the final installment of the Netflix documentary jeen-yuhs: A Kanye Trilogy illuminate the fact. Kanye’s mother, the late scholar and activist Donda West, believed in her son’s dreams with …",2026-05-10T22:04:57Z,Rolling Stone album assessed via Music Features long-form review (no standalone starred capsule linked from Wikipedia at integration time). Substantive coverage without numeric RollingStone ratingValue in HTML.
Vultures 1 — ¥$ with Ty Dolla $ign,2024,True,metacritic,52/100,52.0,,,https://www.metacritic.com/music/vultures-1/kanye-west,0,,2026-05-10T22:04:57Z,
Vultures 1 — ¥$ with Ty Dolla $ign,2024,True,pitchfork_original,5.8/10,58.0,2024-02-15,Paul A. Thompson,https://pitchfork.com/reviews/albums/kanye-west-and-ty-dolla-sign-vultures-1,1346,It’s fitting that the Yeezus album cover is a blank CD. It marked the end of an era in which Kanye West’s creative process was governed by the requirements of mass-producing a consumer good. Over the first decade of his career—culminating with that album in 2013—West was frequently divisive for …,2026-05-10T22:04:57Z,
Vultures 1 — ¥$ with Ty Dolla $ign,2024,True,pitchfork_retrospective,no_retrospective,,,,https://pitchfork.com/reviews/albums/,0,,2026-05-10T22:04:57Z,No Pitchfork Sunday Review / retrospective slug discovered for this title (manual archive search).
Vultures 1 — ¥$ with Ty Dolla $ign,2024,True,rolling_stone,no_score,,2024-02-13,Jayson Buford,https://www.rollingstone.com/music/music-album-reviews/kanye-vultures-review-1234967380/,1696,"Jayson Buford Last Thursday, after a sweet ceremony, the late great Kobe Bean Bryant was honored with a statue outside of Crypto.com Arena in Los Angeles. The ceremony was full of the quaint and charming details you might see on Sportscenter : Vanessa Bryant spoke, and joked about how it …",2026-05-10T22:04:57Z,Substantive coverage without numeric RollingStone ratingValue in HTML.
Vultures 2 — ¥$,2024,True,metacritic,39/100,39.0,,,https://www.metacritic.com/music/vultures-2/%C2%A5$,0,,2026-05-10T22:04:57Z,
Vultures 2 — ¥$,2024,True,pitchfork_original,4.6/10,46.0,2024-08-14,Stephen Kearse,https://pitchfork.com/reviews/albums/kanye-west-ty-dolla-sign-vultures-2,836,"VULTURES 2 opens with a staggering wall of sound that resembles THX’s Deep Note. Dr. Dre’s 2001 famously opens with the same sonic logo, using it to establish the cinematic scope of the album’s slick, muscular G-funk. “Everything you hear is planned. It’s a movie,” Dre told The New York …",2026-05-10T22:04:57Z,
Vultures 2 — ¥$,2024,True,pitchfork_retrospective,no_retrospective,,,,https://pitchfork.com/reviews/albums/,0,,2026-05-10T22:04:57Z,No Pitchfork Sunday Review / retrospective slug discovered for this title (manual archive search).
Vultures 2 — ¥$,2024,True,rolling_stone,2/5,40.0,2024-08-05,Mosi Reeves,https://www.rollingstone.com/music/music-album-reviews/kanye-west-ty-dolla-sign-vultures-2-review-1235074427/,1390,"Mosi Reeves In February, Ye (the former Kanye West ) shocked the music industry when Vultures I , the first of a planned trilogy with Ty Dolla $ign as Y$, opened at Number One on the Billboard 200 chart. It was only a year ago when Ye’s rank antisemitism and …",2026-05-10T22:04:57Z,
Bully,2026,False,metacritic,55/100,55.0,,,https://www.metacritic.com/music/bully/ye,0,,2026-05-10T22:04:57Z,
Bully,2026,False,pitchfork_original,3.4/10,34.0,2026-04-01,Kieran Press-Reynolds,https://pitchfork.com/reviews/albums/kanye-west-bully,1375,"The distortion field around Ye the performer and Kanye West the person makes it tempting to treat his newest album as a glorious return to the artist—the one who didn’t sell swastika merch. On Bully, he’s done away with the references to Hitler chains and untrustworthy Jews, and even the …",2026-05-10T22:04:57Z,
Bully,2026,False,pitchfork_retrospective,no_retrospective,,,,https://pitchfork.com/reviews/albums/,0,,2026-05-10T22:04:57Z,No Pitchfork Sunday Review / retrospective slug discovered for this title (manual archive search).
Bully,2026,False,rolling_stone,2.5/5,50.0,2026-03-31,Jeff Ihaza,https://www.rollingstone.com/music/music-album-reviews/ye-kanye-west-bully-1235538611/,816,"Jeff Ihaza It’s possible that we didn’t, in fact, want the old Kanye . Bully , the 12th studio album from Ye, né Kanye West , feels in some ways like a greatest-hits compilation: There are soul samples flipped with the alchemic acumen that made Ye one of the main …",2026-05-10T22:04:57Z,
